"machoire" "stade" "espece" "rep" "file"
"mus_16.5_up_epi_rep1" "mx_mes" "16.5" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_up_epi_rep1.fastq.qt"
"mus_16.5_up_epi_rep2" "md_mes" "16.5" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_up_epi_rep2.fastq.qt"
"mus_16.5_up_mes_rep1" "mx_epi" "16.5" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_up_mes_rep1.fastq.qt"
"mus_16.5_up_mes_rep2" "md_epi" "16.5" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_up_mes_rep2.fastq.qt"
"s15_0_SE_mus_md3.B" "md_B" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_md3-B.fq.gz.qt"
"s15_0_SE_mus_md3.L" "md_L" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_md3-L.fq.gz.qt"
"s15_0_SE_mus_md4.B" "md_B" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_md4-B.fq.gz.qt"
"s15_0_SE_mus_md4.L" "md_L" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_md4-L.fq.gz.qt"
"s15_0_SE_mus_mx3.B" "mx_B" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_mx3-B.fq.gz.qt"
"s15_0_SE_mus_mx3.L" "mx_L" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_mx3-L.fq.gz.qt"
"s15_0_SE_mus_mx4.B" "mx_B" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_mx4-B.fq.gz.qt"
"s15_0_SE_mus_mx4.L" "mx_L" "15" "mus" "rep5" "quant_musBL_genom_crop/s15_0_SE_mus_mx4-L.fq.gz.qt"
"SHPC19_Mus_H2_Res_2" "kidney" "Res" "mus" "rep" "quant_mus_genom_crop/Kidney/SHPC19_Mus_H2_Res_2.fastq.gz.qt"
"SHPC20_Mus_H3_Res_4" "kidney" "Res" "mus" "rep" "quant_mus_genom_crop/Kidney/SHPC20_Mus_H3_Res_4.fastq.gz.qt"
"SHPC21_Mus_H4_Res_5" "kidney" "Res" "mus" "rep" "quant_mus_genom_crop/Kidney/SHPC21_Mus_H4_Res_5.fastq.gz.qt"
"SHPC22_Mus_G1_Ctr_6" "kidney" "Ctr" "mus" "rep" "quant_mus_genom_crop/Kidney/SHPC22_Mus_G1_Ctr_6.fastq.gz.qt"
"SHPC23_Mus_G2_Ctr_7" "kidney" "Ctr" "mus" "rep" "quant_mus_genom_crop/Kidney/SHPC23_Mus_G2_Ctr_7.fastq.gz.qt"
"SHPC24_Mus_G3_Ctr_12" "kidney" "Ctr" "mus" "rep" "quant_mus_genom_crop/Kidney/SHPC24_Mus_G3_Ctr_12.fastq.gz.qt"
"ham_BCR_AOSW" "md" "12.2" "ham" "rep1" "quant_ham_genom_crop/BCR_AOSW_5_1_C1JGYACXX.IND5_noribo_clean.fastq.qt"
"ham_BCR_BOSW" "mx" "12.2" "ham" "rep1" "quant_ham_genom_crop/BCR_BOSW_5_1_C1JGYACXX.IND6_noribo_clean.fastq.qt"
"ham_BCR_COSW" "md" "12.5" "ham" "rep1" "quant_ham_genom_crop/BCR_COSW_5_1_C1JGYACXX.IND12_noribo_clean.fastq.qt"
"ham_BCR_DOSW" "mx" "12.5" "ham" "rep1" "quant_ham_genom_crop/BCR_DOSW_5_1_C1JGYACXX.IND19_noribo_clean.fastq.qt"
"ham_BCR_EOSW" "md" "13" "ham" "rep1" "quant_ham_genom_crop/BCR_EOSW_6_1_C1JGYACXX.IND2_noribo_clean.fastq.qt"
"ham_BCR_FOSW" "mx" "13" "ham" "rep1" "quant_ham_genom_crop/BCR_FOSW_6_1_C1JGYACXX.IND4_noribo_clean.fastq.qt"
"ham_BCR_GOSW" "md" "13.25" "ham" "rep1" "quant_ham_genom_crop/BCR_GOSW_6_1_C1JGYACXX.IND7_noribo_clean.fastq.qt"
"ham_BCR_HOSW" "mx" "13.25" "ham" "rep1" "quant_ham_genom_crop/BCR_HOSW_6_1_C1JGYACXX.IND16_noribo_clean.fastq.qt"
"ham_BCR_IOSW" "md" "13.5" "ham" "rep1" "quant_ham_genom_crop/BCR_IOSW_7_1_C1JGYACXX.IND5_noribo_clean.fastq.qt"
"ham_BCR_KOSW" "mx" "13.5" "ham" "rep1" "quant_ham_genom_crop/BCR_KOSW_7_1_C1JGYACXX.IND6_noribo_clean.fastq.qt"
"ham_BCR_LOSW" "md" "13.75" "ham" "rep1" "quant_ham_genom_crop/BCR_LOSW_7_1_C1JGYACXX.IND12_noribo_clean.fastq.qt"
"ham_BCR_MOSW" "mx" "13.75" "ham" "rep1" "quant_ham_genom_crop/BCR_MOSW_7_1_C1JGYACXX.IND19_noribo_clean.fastq.qt"
"ham_BCR_NOSW" "md" "14" "ham" "rep1" "quant_ham_genom_crop/BCR_NOSW_8_1_C1JGYACXX.IND2_noribo_clean.fastq.qt"
"ham_BCR_POSW" "mx" "14" "ham" "rep1" "quant_ham_genom_crop/BCR_POSW_8_1_C1JGYACXX.IND4_noribo_clean.fastq.qt"
"ham_BCR_QOSW" "md" "14.5" "ham" "rep1" "quant_ham_genom_crop/BCR_QOSW_8_1_C1JGYACXX.IND7_noribo_clean.fastq.qt"
"ham_BCR_ROSW" "mx" "14.5" "ham" "rep1" "quant_ham_genom_crop/BCR_ROSW_8_1_C1JGYACXX.IND16_noribo_clean.fastq.qt"
"ham_BGE_AAOSW" "md" "11.8" "ham" "rep2" "quant_ham_genom_crop/BGE_AAOSW_8_1_C3G4CACXX.IND7_noribo_clean.fastq.qt"
"ham_BGE_AOSW" "md" "12" "ham" "rep2" "quant_ham_genom_crop/BGE_AOSW_5_1_C3G4CACXX.IND5_noribo_clean.fastq.qt"
"ham_BGE_BAOSW" "mx" "11.8" "ham" "rep2" "quant_ham_genom_crop/BGE_BAOSW_8_1_C3G4CACXX.IND16_noribo_clean.fastq.qt"
"ham_BGE_BOSW" "mx" "12" "ham" "rep2" "quant_ham_genom_crop/BGE_BOSW_5_1_C3G4CACXX.IND6_noribo_clean.fastq.qt"
"ham_BGE_COSW" "md" "12.5" "ham" "rep2" "quant_ham_genom_crop/BGE_COSW_5_1_C3G4CACXX.IND12_noribo_clean.fastq.qt"
"ham_BGE_DOSW" "mx" "12.5" "ham" "rep2" "quant_ham_genom_crop/BGE_DOSW_5_1_C3G4CACXX.IND19_noribo_clean.fastq.qt"
"ham_BGE_EOSW" "md" "13" "ham" "rep2" "quant_ham_genom_crop/BGE_EOSW_6_1_C3G4CACXX.IND2_noribo_clean.fastq.qt"
"ham_BGE_FOSW" "mx" "13" "ham" "rep2" "quant_ham_genom_crop/BGE_FOSW_6_1_C3G4CACXX.IND4_noribo_clean.fastq.qt"
"ham_BGE_GOSW" "md" "13.25" "ham" "rep2" "quant_ham_genom_crop/BGE_GOSW_6_1_C3G4CACXX.IND7_noribo_clean.fastq.qt"
"ham_BGE_HOSW" "mx" "13.25" "ham" "rep2" "quant_ham_genom_crop/BGE_HOSW_6_1_C3G4CACXX.IND16_noribo_clean.fastq.qt"
"ham_BGE_IOSW" "md" "13.5" "ham" "rep2" "quant_ham_genom_crop/BGE_IOSW_8_1_C3G4CACXX.IND2_noribo_clean.fastq.qt"
"ham_BGE_KOSW" "mx" "13.5" "ham" "rep2" "quant_ham_genom_crop/BGE_KOSW_8_1_C3G4CACXX.IND4_noribo_clean.fastq.qt"
"ham_BGE_NOSW" "md" "14" "ham" "rep2" "quant_ham_genom_crop/BGE_NOSW_7_1_C3G4CACXX.IND2_noribo_clean.fastq.qt"
"ham_BGE_POSW" "mx" "14" "ham" "rep2" "quant_ham_genom_crop/BGE_POSW_7_1_C3G4CACXX.IND4_noribo_clean.fastq.qt"
"ham_BGE_QOSW" "md" "14.5" "ham" "rep2" "quant_ham_genom_crop/BGE_QOSW_7_1_C3G4CACXX.IND7_noribo_clean.fastq.qt"
"ham_BGE_ROSW" "mx" "14.5" "ham" "rep2" "quant_ham_genom_crop/BGE_ROSW_7_1_C3G4CACXX.IND16_noribo_clean.fastq.qt"
"hamster_low_epi" "md_epi" "12" "ham" "rep3" "quant_ham_genom_crop/epimes_quantifs/hamster_low_epi.fastq.qt"
"hamster_low_mes" "md_mes" "12" "ham" "rep3" "quant_ham_genom_crop/epimes_quantifs/hamster_low_mes.fastq.qt"
"hamster_up_epi" "mx_epi" "12" "ham" "rep3" "quant_ham_genom_crop/epimes_quantifs/hamster_up_epi.fastq.qt"
"hamster_up_mes" "mx_mes" "12" "ham" "rep3" "quant_ham_genom_crop/epimes_quantifs/hamster_up_mes.fastq.qt"
"SHPC13_Ham_E2_Res_2" "kidney" "Res" "ham" "rep" "quant_ham_genom_crop/Kidney/SHPC13_Ham_E2_Res_2.fastq.gz.qt"
"SHPC14_Ham_E3_Res_4" "kidney" "Res" "ham" "rep" "quant_ham_genom_crop/Kidney/SHPC14_Ham_E3_Res_4.fastq.gz.qt"
"SHPC15_Ham_F1_Res_5" "kidney" "Res" "ham" "rep" "quant_ham_genom_crop/Kidney/SHPC15_Ham_F1_Res_5.fastq.gz.qt"
"SHPC16_Ham_F2_Ctr_6" "kidney" "Ctr" "ham" "rep" "quant_ham_genom_crop/Kidney/SHPC16_Ham_F2_Ctr_6.fastq.gz.qt"
"SHPC17_Ham_F3_Ctr_7" "kidney" "Ctr" "ham" "rep" "quant_ham_genom_crop/Kidney/SHPC17_Ham_F3_Ctr_7.fastq.gz.qt"
"SHPC18_Ham_F4_Ctr_12" "kidney" "Ctr" "ham" "rep" "quant_ham_genom_crop/Kidney/SHPC18_Ham_F4_Ctr_12.fastq.gz.qt"
