ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	FoldEnrichment
R-MMU-1474290	R-MMU-1474290	Collagen formation	43/2468	66/6542	5.2518175316348e-06	0.000299427402480894	0.000259367408496909	Col19a1/Ctsl/Bmp1/Col7a1/Mmp13/Col4a6/Loxl3/Col8a1/Tll2/Col14a1/P3h2/Col26a1/Mmp9/Col5a3/Col13a1/P4ha2/Col27a1/Col24a1/Mmp3/Mmp20/Col25a1/Col6a6/Col9a3/Col12a1/Pcolce2/Col17a1/Adamts3/Col9a1/Col6a5/Loxl2/P3h3/Serpinh1/Loxl4/Col2a1/Colgalt2/Col28a1/Col4a2/Col11a2/Col4a1/Col20a1/P3h1/Col22a1/Col6a2	43	1.72699032464024
R-MMU-1500931	R-MMU-1500931	Cell-Cell communication	46/2468	72/6542	5.48569286987897e-06	0.000299427402480894	0.000259367408496909	Nectin3/Cdh8/Ctnnb1/Amot/Cdh4/Adam19/Nphs1/Megf11/Cdh13/Sdk2/Fyn/Cdh6/Pard6a/Nectin1/Parva/Nectin2/Cadm2/Cd47/Cdh17/Pard6b/Pard3/Nectin4/Afdn/Col17a1/Pxn/Cdh2/Cdh11/Cadm3/Jup/Fermt2/Krt5/Cdh5/Cdh18/Itgb4/Sdk1/Fblim1/Parvb/Cdh15/Ptk2b/Nck1/Ilk/Kirrel2/Ilf3/Flnc/Prkci/Cdh24	46	1.69352151989915
R-MMU-1566948	R-MMU-1566948	Elastic fibre formation	28/2468	38/6542	6.85304534690968e-06	0.000345288054017372	0.000299092424452171	Bmp4/Fn1/Loxl3/Tgfb1/Emilin2/Fbn2/Tgfb2/Gdf5/Ltbp1/Emilin1/Emilin3/Itgb5/Itgb6/Mfap4/Ltbp3/Bmp2/Bmp7/Efemp2/Itgb3/Ltbp2/Itga8/Eln/Loxl2/Loxl4/Fbn1/Mfap5/Ltbp4/Fbln5	28	1.95316898404845
R-MMU-9013149	R-MMU-9013149	RAC1 GTPase cycle	76/2468	135/6542	7.44694115283344e-06	0.000348410461078993	0.000301797088825355	Dock10/Ophn1/Ktn1/Arap3/Arhgap22/Pik3r3/Arhgap26/Arhgap21/Plekhg6/Arhgap25/Wasf3/Cdc42/Arhgap29/Depdc1b/Pik3r1/Vav3/Iqgap3/Arhgdia/Pard6a/Vamp3/Dock5/Pak6/Esyt1/Vav2/Git2/Noxa1/Amigo2/Arhgap44/Arhgef11/Snap23/Arhgap15/Def6/Arhgap33/Lbr/Arhgap9/Sos2/Wasf1/Als2/Arap1/Swap70/Farp2/Arhgap24/Mpp7/Fgd5/Rasgrf2/Fermt2/Tiam2/Srgap1/Nhs/Arhgap32/Abi2/Dlc1/Rac1/Git1/Arhgef18/Taok3/Arhgef15/Chn1/Arhgap10/Cdc42ep4/Fam13a/Pld2/Pik3ca/Gmip/Ncf4/Dock6/Cyba/Srgap3/Arhgef10/Arhgef19/Vav1/Kalrn/Arhgap20/Abr/Prex1/Fmnl1	76	1.49226244072273
R-MMU-421270	R-MMU-421270	Cell-cell junction organization	29/2468	40/6542	7.98377431589586e-06	0.000348624811794119	0.000301982761843359	Nectin3/Cdh8/Ctnnb1/Amot/Cdh4/Adam19/Cdh13/Sdk2/Cdh6/Pard6a/Nectin1/Nectin2/Cadm2/Cdh17/Pard6b/Pard3/Nectin4/Afdn/Cdh2/Cdh11/Cadm3/Jup/Cdh5/Cdh18/Sdk1/Cdh15/Ilf3/Prkci/Cdh24	29	1.92177876823339
R-MMU-1650814	R-MMU-1650814	Collagen biosynthesis and modifying enzymes	35/2468	53/6542	2.56650183863258e-05	0.00105066169019021	0.000910095059883525	Col19a1/Bmp1/Col7a1/Col4a6/Col8a1/Tll2/Col14a1/P3h2/Col26a1/Col5a3/Col13a1/P4ha2/Col27a1/Col24a1/Col25a1/Col6a6/Col9a3/Col12a1/Pcolce2/Col17a1/Adamts3/Col9a1/Col6a5/P3h3/Serpinh1/Col2a1/Colgalt2/Col28a1/Col4a2/Col11a2/Col4a1/Col20a1/P3h1/Col22a1/Col6a2	35	1.7504816366472
R-MMU-9013148	R-MMU-9013148	CDC42 GTPase cycle	41/2468	66/6542	4.68241064480776e-05	0.00172008087754803	0.00148995354439275	Dock10/Ophn1/Ktn1/Arap3/Arhgap22/Arhgap26/Arhgap21/Cdc42/Arhgap29/Depdc1b/Pik3r1/Vav3/Arhgdia/Arhgdig/Fgd4/Vav2/Arhgap44/Arhgef11/Def6/Arhgap33/Lbr/Fgd2/Arhgap9/Arap1/Arhgap24/Rasgrf2/Srgap1/Arhgap32/Dlc1/Arhgef15/Chn1/Arhgap10/Gmip/Arhgef26/Dock6/Srgap3/Arhgef10/Arhgef19/Arhgap20/Abr/Prex1	41	1.64666519326163
R-MMU-216083	R-MMU-216083	Integrin cell surface interactions	36/2468	56/6542	4.72693981616254e-05	0.00172008087754803	0.00148995354439275	Jam3/Col7a1/Fn1/Col4a6/Col8a1/Icam4/Col5a3/Icam1/Col13a1/Itga2/Itgax/Vwf/Cd47/Pecam1/Jam2/Col6a6/Col9a3/Itgb5/Itgb6/Itga9/Lum/Itgb3/Itga8/Ibsp/Itga4/Col9a1/Spp1/Col6a5/Tnc/Fbn1/Col2a1/Col4a2/Itgb7/Col4a1/Col6a2/Itga2b	36	1.7040402871035
R-MMU-76002	R-MMU-76002	Platelet activation, signaling and aggregation	106/2468	208/6542	5.37868485884837e-05	0.00185423083291878	0.00160615575563395	Mmrn1/Prkce/Timp3/Pik3cg/Gnai1/Alb/Clu/Prkch/Fn1/App/Rasgrp1/Pik3r3/Tgfb1/F13a1/Abcc4/Cdc42/Vcl/F5/Mgll/P2ry12/Pik3cb/Hgf/Dgkq/Fyn/Pik3r1/Vav3/Dgkz/Gnb5/Wdr1/Prkca/Timp1/Gnb3/Vwf/Ptpn1/Vav2/Tgfb2/Adra2c/Dgki/Endod1/Tuba4a/Pdgfb/Gng4/Aldoa/Gnb4/Pecam1/Adra2a/Pla2g4a/Lat/Stxbp3/Mapk3/Gas6/Pdpn/Aplp2/Serping1/Tmsb4x/Lck/Vegfb/Apool/Dgkb/Lgals3bp/Rasgrp2/Apbb1ip/Cd9/Trpc6/Islr/Cyb5r1/Raf1/Itgb3/F2rl2/Vegfd/Ecm1/Ctsw/Lamp2/Gna15/Rac2/A2m/Itih3/Gng10/Itpr1/Clec1b/Dgkh/Rac1/P2ry1/Apoa1/Cd109/Syk/Gngt2/Prkcq/Cd63/Igf2/Pik3ca/Shc1/Itpr3/Chid1/Ly6g6f/Pik3r5/Daglb/Igf1/Vav1/Rapgef4/Prkcd/Arrb1/Gp6/Vegfc/Itga2b/Bcar1	106	1.35085244981922
R-MMU-1474228	R-MMU-1474228	Degradation of the extracellular matrix	49/2468	84/6542	9.22340953362499e-05	0.00302066662226218	0.0026165356519073	Col19a1/Ctsl/Col7a1/Mmp13/Fn1/Col4a6/Nid1/Col8a1/Mmp17/Mmp16/Col26a1/Mmp9/Col5a3/Htra1/Col13a1/Mmp12/Scube3/Timp1/Adamts5/Fbn2/Ctrb1/Mmp2/Mmp3/Mmp20/Elane/Cma1/Col25a1/Col6a6/Capn15/Capn2/Col12a1/Acan/Capn8/Adam10/A2m/Capn5/Eln/Spp1/Col6a5/Ctsk/Capn7/Fbn1/Col2a1/Mmp19/Col4a2/Col11a2/Col4a1/Klk7/Col6a2	49	1.54625877903836
R-MMU-8948216	R-MMU-8948216	Collagen chain trimerization	22/2468	31/6542	0.00017247739557528	0.00537965210008612	0.00465991559975319	Col19a1/Col7a1/Col8a1/Col14a1/Col26a1/Col5a3/Col13a1/Col27a1/Col24a1/Col25a1/Col6a6/Col9a3/Col12a1/Col17a1/Col9a1/Col6a5/Col2a1/Col28a1/Col11a2/Col20a1/Col22a1/Col6a2	22	1.88116275422178
R-MMU-418990	R-MMU-418990	Adherens junctions interactions	23/2468	33/6542	0.000189344518869953	0.00563730272090089	0.00488309548664617	Nectin3/Cdh8/Ctnnb1/Amot/Cdh4/Adam19/Cdh13/Cdh6/Nectin1/Nectin2/Cadm2/Cdh17/Nectin4/Afdn/Cdh2/Cdh11/Cadm3/Jup/Cdh5/Cdh18/Cdh15/Ilf3/Cdh24	23	1.84747802170817
R-MMU-983712	R-MMU-983712	Ion channel transport	71/2468	134/6542	0.000203198389724235	0.00578673675084235	0.00501253693644681	Clcn1/Atp11b/Ripk1/Slc9b2/Clcnkb/Trpc4/Trpv2/Atp6v0d2/Atp6v0a1/Ano3/Atp6v1d/Trpm2/Camk2g/Atp13a5/Atp2a3/Slc17a3/Atp2b4/Trpm1/Atp11a/Ripk3/Wwp1/Atp2b1/Sgk1/Atp1a2/Asic4/Sri/Atp2b3/Atp2a1/Trpm6/Best3/Atp6v1c2/Fxyd4/Nalcn/Atp1a4/Tcirg1/Scnn1g/Trpc6/Atp2c2/Raf1/Atp6v1a/Fxyd6/Ryr1/Ano10/Fkbp1b/Trpv4/Atp7b/Atp1a1/Asic3/Atp1b1/Sgk3/Trpm5/Mlkl/Atp6v1c1/Atp10d/Atp6v1b2/Atp6v1b1/Asic1/Stom/Atp12a/Atp4a/Clca2/Ano1/Clcn2/Ttyh2/Ano4/Ryr3/Ryr2/Unc79/Clcn7/Atp13a1/Atp6v0a4	71	1.40449091656789
R-MMU-2022090	R-MMU-2022090	Assembly of collagen fibrils and other multimeric structures	27/2468	41/6542	0.000232992496782328	0.00635875355801771	0.0055080243756875	Ctsl/Bmp1/Col7a1/Mmp13/Col4a6/Loxl3/Col8a1/Tll2/Col14a1/Mmp9/Col5a3/Col27a1/Col24a1/Mmp3/Mmp20/Col6a6/Col9a3/Col12a1/Col9a1/Col6a5/Loxl2/Loxl4/Col2a1/Col4a2/Col11a2/Col4a1/Col6a2	27	1.74560224532553
