sample	weight	stage	replicate	fit_GAM	lower1_GAM	upper1_GAM	species	type	time	timeL	timeU	jaw	morphostage
17	ham_BGE_COSW	371	12.5	rep2	12.4637002966941	12.4002747067025	12.5271258866858	ham	Whole	0.698484058119665	0.419186625146244	0.977781491093531	md	1
18	ham_BGE_EOSW	548	13	rep2	12.9902794425409	12.9089608702678	13.0715980148139	ham	Whole	3.01729896724116	2.65920898349882	3.37538895098307	md	2
19	ham_BGE_GOSW	793	13.25	rep2	13.4693545829887	13.390515054205	13.5481941117723	ham	Whole	5.12692785593064	4.77975445148871	5.47410126037213	md	3/4
20	ham_BGE_IOSW	1019	13.5	rep2	13.7359145812175	13.6655685591877	13.8062606032473	ham	Whole	6.30073677514707	5.9909649090057	6.61050864128843	md	6
21	ham_BGE_NOSW	1035	14	rep2	13.7612891733943	13.6906607379321	13.8319176088565	ham	Whole	6.41247493097134	6.10145944460166	6.72349041734103	md	6
22	ham_BGE_QOSW	1570	14.5	rep2	14.5354805319855	14.4380666252941	14.6328944386768	ham	Whole	9.82166133528177	9.39269482384019	10.2506278467229	md	DF
23	mus_AXR_MAOS	282	14.5	rep1	14.6524793928443	14.6122074572676	14.6927513284209	mus	Whole	-0.00902977873575201	-0.12994650052333	0.111886943051522	md	PEK
24	mus_AXR_MCOS	371	15	rep1	15.0701590154084	15.0290070130634	15.1113110177535	mus	Whole	1.24505572757754	1.12149660017789	1.3686148549775	md	1
25	mus_AXR_MEOS	453	15.5	rep1	15.3819421951689	15.3339888778406	15.4298955124971	mus	Whole	2.18118654585779	2.03720643049597	2.32516666121932	md	1.5
26	mus_AXR_MGOS	590	16	rep1	15.9532378701933	15.9069051027534	15.9995706376333	mus	Whole	3.89650514691696	3.75739074206029	4.03561955177392	md	2
27	mus_AXR_MIOS	750	16.5	rep1	16.5864073426791	16.5332672616682	16.63954742369	mus	Whole	5.7976001862437	5.63804678263025	5.95715358985716	md	3/4
28	mus_AXR_MLOS	867	17	rep1	16.9985544623762	16.9422731004321	17.0548358243203	mus	Whole	7.03507432038484	6.866089202422	7.20405943834767	md	5/6
29	mus_AXR_MNOS	1028	17.5	rep1	17.4902417506593	17.4349724199157	17.5455110814028	mus	Whole	8.51136827528012	8.3454217869078	8.67731476365213	md	6
30	mus_AXR_MQOS	1232	18	rep1	18.0202007675792	17.9618141157527	18.0785874194056	mus	Whole	10.1025733189432	9.92726705581197	10.2778795820741	md	DF
31	mus_BGF_MAOS	283	14.5	rep2	14.6584942212674	14.6182559841765	14.6987324583584	mus	Whole	0.00902977873574668	-0.111785763151389	0.129845320623181	md	PEK
32	mus_BGF_MCOS	352	15	rep2	14.9957513708788	14.9545224538189	15.0369802879386	mus	Whole	1.02164634028055	0.897856276000176	1.14543640456063	md	1
33	mus_BGF_MEOS	493	15.5	rep2	15.545810363553	15.5007918272627	15.5908288998433	mus	Whole	2.67320167854497	2.53803326039108	2.80837009669887	md	1.5
34	mus_BGF_MGOS	592	16	rep2	15.9615498641643	15.9152846100143	16.0078151183143	mus	Whole	3.92146195736321	3.78255026155379	4.06037365317263	md	2
35	mus_BGF_MIOS	716	16.5	rep2	16.4580696472981	16.4049637255466	16.5111755690496	mus	Whole	5.41226550627314	5.25281466603555	5.57171634651072	md	3/4
36	mus_BGF_MLOS	924	17	rep2	17.1822867323679	17.1227299989068	17.241843465829	mus	Whole	7.58673153417019	7.40791209409691	7.76555097424347	md	5/6
37	mus_BGF_MNOS	1118	17.5	rep2	17.7339893660995	17.6814966739147	17.7864820582844	mus	Whole	9.24322191430956	9.08561229942772	9.40083152919171	md	6
38	mus_BGF_MQOS	1204	18	rep2	17.9518756255922	17.8952173230903	18.0085339280942	mus	Whole	9.89742668105678	9.72730979686753	10.0675435652463	md	DF
