sample	timerelGAM	Lmedian	Lmini	Lmaxi	tooth	species
mus_BGF_MEOSW	2.67320167854509	0.13503414027738	0.181590738142547	0.111710595798092	lower	mus
mus_BGF_MFOSW	2.67320167854509	0.249335699654541	0.287330297495769	0.159160638856402	upper	mus
mus_BGF_MGOSW	3.9214619573633	0.0131861556915069	0.0785913819609673	4.44089209850063e-16	lower	mus
mus_BGF_MHOSW	3.9214619573633	0.0980212607361921	0.122890411430931	0.0772026779818427	upper	mus
mus_BGF_MIOSW	5.41226550627321	4.44089209850063e-16	0.0371178455805939	2.22044604925031e-16	lower	mus
mus_BGF_MKOSW	5.41226550627321	0.00952841521163483	0.0540286298722502	4.44089209850063e-16	upper	mus
mus_BGF_MLOSW	7.58673153417023	0.0162128546697274	0.126623507961938	4.44089209850063e-16	lower	mus
mus_BGF_MMOSW	7.58673153417023	0.0831187473144092	0.117156202718392	0.0340214465931976	upper	mus
mus_BGF_MNOSW	9.24322191430957	4.44089209850063e-16	0.0540378856729475	2.22044604925031e-16	lower	mus
mus_BGF_MPOSW	9.24322191430957	4.44089209850063e-16	0.0866112312980662	2.22044604925031e-16	upper	mus
mus_BGF_MQOSW	9.89742668105679	0.00177801846268888	0.151603231433638	2.22044604925031e-16	lower	mus
mus_BGF_MROSW	9.89742668105679	0.0203661001843849	0.0578175219606958	2.22044604925031e-16	upper	mus
ham_BCR_AOSW	0	4.44089209850063e-16	0.100660327247409	2.22044604925031e-16	lower	ham
ham_BCR_BOSW	0	0.00835859534028549	0.172120350708742	2.22044604925031e-16	upper	ham
ham_BCR_COSW	1.46389986334491	2.22044604925031e-16	0.0138103817267453	2.22044604925031e-16	lower	ham
ham_BCR_DOSW	1.46389986334491	4.44089209850063e-16	0.102009307113904	2.22044604925031e-16	upper	ham
ham_BCR_EOSW	2.81765488627557	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BCR_FOSW	2.81765488627557	2.22044604925031e-16	0.00473308859805277	2.22044604925031e-16	upper	ham
ham_BCR_GOSW	5.02848465495537	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BCR_HOSW	5.02848465495537	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
ham_BCR_IOSW	5.93317273991783	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BCR_KOSW	5.93317273991783	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
ham_BCR_LOSW	6.52211285128225	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BCR_MOSW	6.52211285128225	2.22044604925031e-16	0.0243282990213234	2.22044604925031e-16	upper	ham
ham_BCR_NOSW	7.67984517227558	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BCR_POSW	7.67984517227558	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
ham_BCR_QOSW	10.1783386647182	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BCR_ROSW	10.1783386647182	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
ham_BGE_AAOSW	-0.994337651804615	0.104863785258697	0.287961966253246	0.0119134527505294	lower	ham
ham_BGE_AOSW	-0.894083420156937	0.0256740145539303	0.194433417131557	2.22044604925031e-16	lower	ham
ham_BGE_BAOSW	-0.994337651804615	0.220371874753431	0.38180622549976	0.123983039362244	upper	ham
ham_BGE_BOSW	-0.894083420156937	0.0939996904229471	0.251973327717539	0.00251682095603067	upper	ham
ham_BGE_COSW	0.698484058119665	4.44089209850063e-16	0.0851813273910342	2.22044604925031e-16	lower	ham
ham_BGE_DOSW	0.698484058119665	4.44089209850063e-16	0.151373786525158	2.22044604925031e-16	upper	ham
ham_BGE_EOSW	3.01729896724116	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BGE_FOSW	3.01729896724116	4.44089209850063e-16	0.0729159814819549	2.22044604925031e-16	upper	ham
ham_BGE_GOSW	5.12692785593064	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BGE_HOSW	5.12692785593064	2.22044604925031e-16	0.0413356725813288	2.22044604925031e-16	upper	ham
ham_BGE_IOSW	6.30073677514707	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BGE_KOSW	6.30073677514707	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
ham_BGE_NOSW	6.41247493097134	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BGE_POSW	6.41247493097134	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
ham_BGE_QOSW	9.82166133528177	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	lower	ham
ham_BGE_ROSW	9.82166133528177	2.22044604925031e-16	4.44089209850063e-16	2.22044604925031e-16	upper	ham
